participant,Age_1,Sex_1,Prior_Knowledge_1,Media_Consumption_1,Trust_in_Media_1,NS1_1,NS2_1,NS3_1,NS4_1,NS5_1,NS6_1,NS7_1,NS8_1,NS9_1,NS10_1,S11_1,S12_1,S13_1,S14_1,S15_1,S16_1,S17_1,S18_1,S19_1,S20_1,TIME_start,TIME_end,TIME_total
s.f43dcbb6-b50a-4a27-8671-8aeca812dfd8.txt,3,3,3,3,1,7,7,5,6,4,5,4,7,4,4,,,,,,,,,,,2023-11-10-14-51,2023-11-10-14-52,1
s.3097888f-ef4d-4a06-ae4d-e5e1f9789a42.txt,2,1,3,3,2,,,,,,,,,,,7,4,2,7,6,5,1,6,5,3,2023-11-08-19-02,2023-11-08-19-14,12
s.832cf12a-efad-44ec-b7c6-6b590a2a7a12.txt,2,1,3,3,1,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2023-11-10-07-12,2023-11-10-07-13,1
s.e9eea2fb-05d0-4021-927a-578fa6b346c2.txt,1,2,2,3,2,7,6,4,6,6,5,6,6,6,7,,,,,,,,,,,2023-11-07-16-56,2023-11-07-17-02,6
s.b173a0e3-37a6-4db4-b1ea-8f7232d71237.txt,2,1,2,3,2,4,3,5,6,6,6,6,6,3,6,,,,,,,,,,,2023-11-08-17-32,2023-11-08-17-48,16
s.6318c9ca-0a8f-4581-8829-0f1c675248b7.txt,2,1,2,3,1,,,,,,,,,,,7,2,5,6,4,5,6,2,2,6,2023-11-09-17-54,2023-11-09-18-14,20
s.ddefabac-cb12-4621-ab76-068f77964d31.txt,2,1,3,2,2,7,4,5,6,5,6,6,6,7,7,,,,,,,,,,,2023-11-12-21-24,2023-11-12-21-25,1
s.a8895d6a-98b4-4200-ba12-a9cba7173af3.txt,1,2,2,3,2,,,,,,,,,,,5,7,7,7,7,7,7,7,7,7,2023-11-08-20-47,2023-11-08-20-54,7
s.be9d7df1-7ab2-45b8-9d5a-bd738477c86f.txt,2,1,3,2,2,,,,,,,,,,,6,6,6,6,6,5,6,7,1,7,2023-11-12-20-56,2023-11-12-20-57,1
s.79dd11f2-23fd-4129-a66d-c20055482f1d.txt,3,3,3,3,3,7,7,7,7,6,6,7,7,7,7,,,,,,,,,,,2023-11-08-13-33,2023-11-08-13-34,1
s.f7ac4397-6d77-44d9-a4c7-e48ef86849c3.txt,2,1,1,2,2,,,,,,,,,,,5,6,6,6,6,2,2,6,6,2,2023-11-08-14-14,2023-11-08-14-28,14
